Country,TotalCount_1,TotalCount_2,TotalCount_3,TotalCount_4,TotalCount_5,TotalCount_6,TotalCount_7,TotalCount_8
PLE,0,0,0,0,0,0,1,1
PLW,-0,-0,-0,-0,0,0,0,1
PNG,0,0,0,0,1,1,1,1
POL,22,-20,20,21,21,20,19,17
POR,9,8,9,3,-6,-6,0,-3
PRK,5,6,4,3,4,4,4,4
PUR,1,2,2,3,3,3,3,4
QAT,3,3,2,2,1,1,1,1
RHO,-0,-0,-0,-0,0,0,0,0
ROC,-36,-13,8,-21,-3,3,-15,-11
ROT,0,0,0,0,0,0,1,1
ROU,3,7,9,9,8,10,11,9
RSA,2,3,4,4,-10,-9,15,7
RUS,14,21,30,29,32,40,40,40
RWA,-0,-0,-0,-0,0,0,1,1
SAA,-0,-0,-0,-0,0,0,0,0
SAM,0,0,0,0,0,0,0,1
SCG,4,4,2,1,1,0,0,1
SEN,0,0,1,1,1,1,1,1
SEY,1,1,1,1,1,1,1,1
SGP,6,4,5,6,7,7,6,6
SKN,-0,-0,0,0,0,0,0,0
SLE,-0,-0,-0,0,0,0,0,1
SLO,8,-30,6,6,7,7,14,5
SMR,2,1,1,0,0,-0,-0,-0
SOL,-0,-0,-0,-0,0,0,0,0
SOM,-0,-0,-0,0,0,0,0,0
SRB,10,12,8,9,9,7,6,6
SRI,0,0,0,0,0,0,0,1
SSD,-0,-0,0,0,0,0,0,0
STP,-0,-0,-0,0,0,0,0,0
SUD,0,0,0,0,0,1,1,1
SUI,-10,-37,6,-4,8,8,0,10
SUR,-0,-0,-0,-0,0,0,0,1
SVK,4,-35,1,1,1,0,0,1
SWE,7,9,6,3,1,-0,1,1
SWZ,-0,-0,-0,-0,0,0,0,0
SYR,-0,-0,-0,0,0,0,1,1
TAN,-0,-0,0,0,0,0,0,1
TCH,1,1,0,0,-0,-0,0,-0
TGA,0,-0,-0,0,0,0,1,1
THA,2,3,3,4,4,4,3,3
TJK,1,1,1,1,1,1,1,1
TKM,1,1,0,0,0,1,1,1
TLS,-0,-0,-0,0,0,0,0,1
TOG,-0,-0,-0,0,0,0,0,1
TPE,-10,4,3,5,6,7,8,9
TTO,1,2,2,2,2,2,2,2
TUN,4,4,5,6,7,6,6,7
TUR,-2,11,11,11,12,11,11,10
TUV,-0,-0,-0,0,0,0,0,0
UAE,1,1,1,1,0,0,1,1
UAR,-0,-0,-0,-0,0,0,0,0
UGA,1,1,1,1,1,1,1,1
UKR,-14,9,12,-6,13,20,-21,-4
UNK,-0,-0,-0,-0,0,0,0,0
URS,-0,-0,-0,-0,0,0,0,0
URU,2,2,2,2,2,2,2,2
USA,62,58,41,72,66,68,98,37
UZB,-7,-0,-1,0,1,4,5,6
VAN,-0,0,0,0,0,0,0,1
VEN,3,2,3,3,4,4,5,5
