Country,total,gold,TlLower,TlUpper,GLower,GUpper
SUR,0,0,0,1,0,0
SVK,0,-0,-1,2,-1,0
SWZ,0,0,0,1,-0,0
TAN,0,0,0,1,-0,0
TCH,0,-0,-0,0,-0,0
TLS,0,0,0,1,-0,0
TOG,0,0,0,1,-0,0
TUV,0,0,0,1,-0,0
UAR,0,0,-0,1,-0,0
UNK,0,0,-0,1,-0,0
URS,0,0,-0,1,-0,0
VAN,0,0,0,1,-0,0
VIN,0,0,0,1,0,0
VNM,0,0,-0,1,-0,0
WIF,0,0,-0,1,-0,0
YAR,0,0,-0,1,-0,0
YMD,0,0,-0,1,-0,0
YUG,0,0,-0,1,-0,0
ZAM,0,0,0,1,-0,0
CMR,-1,-0,-1,-0,-1,-0
GHA,-1,-0,-1,-0,-1,-0
HON,-1,-0,-1,-0,-0,-0
IOA,-1,-0,-1,-0,-0,0
PAR,-1,-1,-2,-1,-1,-0
CAN,-1,-3,-8,6,-5,-0
LAT,-3,-0,-4,-1,-1,0
NOR,-3,-2,-6,0,-3,-0
ECU,-4,-1,-5,-3,-2,-1
COL,-5,-2,-7,-2,-3,-1
BRA,-10,-2,-16,-4,-4,1
ESP,-14,-9,-22,-6,-12,-6
ROC,-15,-9,-22,-8,-11,-6
CRC,-18,-4,-21,-14,-5,-3
AUS,-19,-6,-29,-9,-10,-2
UKR,-21,-12,-29,-13,-15,-9
PER,-26,-6,-31,-21,-8,-4
GRE,-34,-14,-41,-26,-17,-11
EGY,-35,-15,-43,-27,-18,-12
FRA,-50,5,-74,-26,-4,14
