Country,total,gold,TlLower,TlUpper,GLower,GUpper
SEY,0,-0,-0,0,-0,0
SKN,0,-0,-0,0,-0,0
SLE,0,0,-0,0,-0,0
SOL,-0,-0,-0,0,-0,0
SOM,0,-0,-0,0,-0,-0
SRI,0,0,0,1,-0,0
SSD,0,-0,-0,0,-0,0
STP,-0,-0,-1,0,-0,0
SUD,0,-0,-0,0,-0,0
SUR,-0,-0,-0,0,-0,0
SVK,0,0,-2,2,-1,1
SWZ,-0,-0,-0,0,-0,0
SYR,0,-0,-0,0,-0,0
TAN,0,-0,-0,0,-0,0
TCH,0,-0,-0,0,-0,-0
TGA,0,-0,-0,0,-0,0
TKM,0,0,-0,1,-0,0
TLS,0,-0,-0,0,-0,0
TOG,0,-0,-0,0,-0,0
TUV,0,-0,-0,0,-0,0
UAR,0,-0,-0,0,-0,-0
UNK,0,-0,-0,0,-0,-0
URS,0,-0,-0,0,-0,-0
VAN,0,-0,-0,0,-0,0
VIN,-0,-0,-0,0,-0,0
VNM,0,-0,-0,0,-0,-0
WIF,0,-0,-0,0,-0,-0
YAR,0,-0,-0,0,-0,-0
YEM,0,0,0,0,-0,0
YMD,0,-0,-0,0,-0,-0
YUG,0,-0,-0,0,-0,-0
ZAM,0,-0,-0,0,-0,-0
ZIM,-0,-0,-0,0,-0,0
PHI,-0,-1,-2,1,-1,-0
ISL,-1,-0,-1,-1,-1,-0
MNE,-1,-0,-1,-1,-1,-0
CHI,-1,-1,-3,-0,-2,-1
PAR,-1,-1,-1,-0,-1,-0
AIN,-3,0,-8,2,-1,2
BUL,-6,-2,-8,-4,-3,-2
BLR,-7,-2,-10,-4,-3,-1
